,0,1,2,3,4,5
71,1.102851418,0.1,0.751111111,0,1,0
72,3.049603458,2.1,0.537777778,0.707106781,1,0
73,4.430768133,2.09,0.47265625,0,-1,0
74,2.687789519,0.325,0.537777778,0,1,0
75,1.04500299,0.1,0,1,1,1
76,3.050464104,2.1,0.537777778,0,1,0
77,4.611339963,2.44,0.47265625,0.707106781,-1,0
78,2.642813368,2.1,0.537777778,0.707106781,1,0
79,4.611339963,2.44,0.413265306,0,-1,0
80,0.176511331,0,0.669421488,0,-1,1
81,0.578386765,0.315,0.5625,0,-1,0
82,0.438926247,0.335,0.669421488,0,1,0
83,0.993041414,0.63,0.669421488,0,-1,0
84,1.125969027,0.855,0.669421488,0,-1,0
85,0.425242578,0,0.5625,0,-1,1
86,0.200701893,0.02,0.669421488,0,1,0
87,0.815770341,0.315,0.669421488,0,-1,0
88,0.904049916,0.54,0.669421488,0,-1,0
89,4.18200012,2.455,0,0,-1,0
90,0.683396847,0,0.669421488,0,-1,1
91,0.681546954,0.225,0.669421488,0,-1,0
92,4.383158821,2.495,0,0.447213595,-1,0
93,4.383158821,2.495,0,0,-1,0
94,4.383158821,2.495,0,0.447213595,-1,0
95,0.97252892,0.025,0,0,1,1
96,1.046858395,0.025,0.64,0,1,0
97,0.858650831,0.025,0.64,0,1,0
98,3.123592683,0.05,0.790123457,0,-1,0
99,3.842507319,2.895,0,0,1,0
100,0.97252892,0.025,0,0,1,1
101,0.546242849,0.025,0.64,0,1,0
102,3.502931808,0.05,0.790123457,0,-1,0
103,3.860513243,0.21,0.64,0,1,0
104,3.842507319,2.895,0,0,1,0
105,0.385073045,0.025,0.81,0,1,1
106,3.882400192,0.05,0.64,0,-1,0
107,3.915490071,0.59,0.64,0,1,0
108,3.860513243,0.21,0.64,0,1,0
109,3.842507319,2.895,0.36,0,1,0
110,1.052526722,0.025,0,0,1,1
111,1.121566984,0.025,0.64,0,1,0
112,1.302617557,0.025,0.36,0,1,0
113,1.557084616,0.025,0.36,0,1,0
114,1.854996631,0.025,0.36,0,1,0
115,1.052526722,0.025,0,0,1,1
116,1.121566984,0.025,0.36,0,1,0
117,1.302617557,0.025,0.36,0,1,0
118,1.557084616,0.025,0.36,0,1,0
119,1.859968078,1.685,0.297520661,0,1,0
120,1.052526722,0.025,0,0,1,1
121,1.121566984,0.025,0.64,0,1,0
122,1.302617557,0.025,0.64,0,1,0
123,1.483165955,1.305,0.52892562,0,1,0
124,4.893386481,2.76,0.790123457,0,-1,0
125,1.052526722,0.025,0,0,1,1
126,1.121566984,0.025,0.64,0,1,0
127,1.108549164,0.925,0.52892562,0,1,0
128,5.199666456,2.76,0.790123457,0,-1,0
129,5.199666456,2.76,0.444444444,0,-1,0
130,1.052526722,0.025,0,0,1,1
131,0.739446584,0.545,0.52892562,0,1,0
132,5.515127492,2.76,0.790123457,0,-1,0
133,5.515127492,2.76,0.444444444,0,-1,0
134,2.619916506,0.81,0.36,0,-1,0
135,6.015773537,2.59,0.36,0,-1,1
136,6.015773537,2.59,0.64,0,-1,0
137,1.395438999,0.745,0.604938272,0,-1,0
138,0.560139492,0.015,0,0,1,1
139,0.581726955,0.015,0.64,0,1,0
140,1.395438999,0.745,0.64,0,-1,0
141,0.400195265,0.03,0.64,0,1,0
142,1.511894507,0.745,0.604938272,0,-1,0
143,0.575461771,0.015,0.64,0,1,0
144,0.560139492,0.015,0,0,1,1
145,1.511894507,0.745,0.64,0,-1,0
146,0.300925655,0.03,0.64,0,1,0
147,0.9275,0,0.765625,0,1,1
148,0.960602025,0.105,0.36,0,1,0
149,1.053686979,0.355,0.36,0,1,0
150,1.192793465,0.605,0.36,0,1,0
151,1.363912112,0.855,0.36,0,1,0
152,0.9,0,0.694444444,0,1,1
153,0.934077085,0.105,0.5625,0,1,0
